overall,round,team,player,nat,pos,age,birthMonth,to,amateurTeam,amateurLeage,nhl_a,nhl_pts,nhl_plusMinus,nhl_pim,nhlG_g,nhlG_w,nhlG_l,nhlG_tiesOT,nhlG_saveP,nhlG_avgGoalsAgainst,pointShare
105,4,Florida Panthers,Zachary Uens,CA,D,19,5,,Merrimack ,H-East,,,,,,,,,,,
106,4,Toronto Maple Leafs,Artur Akhtyamov,RU,G,18,10,,Irbis Kazan ,Russia Jr.,,,,,,,,,,,
107,4,Detroit Red Wings,Jan Bednar,CZ,G,18,8,,HC Banik Sokolov ,Czech-2,,,,,,,,,,,
108,4,Pittsburgh Penguins,Lukas Svejkovsky,US,C,18,11,,Medicine Hat Tigers ,WHL,,,,,,,,,,,
109,4,Montreal Canadiens,Blake Biondi,US,C,18,4,,Hermantown HS ,High-MN,,,,,,,,,,,
110,4,Chicago Blackhawks,Michael Krutil,CZ,D,18,6,,HC Sparta Praha Jr. ,Czech Jr.,,,,,,,,,,,
111,4,Arizona Coyotes,Mitchell Miller,US,D,18,12,,Tri-City Storm ,USHL,,,,,,,,,,,
112,4,Los Angeles Kings,Juho Markkanen,CA,G,18,4,,SaiPa Jr. ,Finland Jr.,,,,,,,,,,,
113,4,Vancouver Canucks,Jackson Kunz,US,LW,18,8,,Shattuck-St. Mary's School ,High-MN,,,,,,,,,,,
114,4,Columbus Blue Jackets,Mikael Pyyhtia,FI,LW,18,12,2025,TPS Jr. ,Finland Jr.,6,10,-18,8,,,,,,,-0.8
115,4,Carolina Hurricanes,Zion Nybeck,SE,LW,18,5,,HV71 Jr. ,Sweden Jr.,,,,,,,,,,,
116,4,Tampa Bay Lightning,Eamon Powell,US,D,18,5,,USA U-18 Development Team ,USDP/USHL,,,,,,,,,,,
117,4,Washington Capitals,Bogdan Trineyev,RU,RW,18,3,,MHK Dynamo Moskva ,Russia Jr.,,,,,,,,,,,
118,4,Colorado Avalanche,Colby Ambrosio,CA,C,18,8,,Tri-City Storm ,USHL,,,,,,,,,,,
119,4,St. Louis Blues,Tanner Dickinson,US,C,18,3,,Soo Greyhounds ,OHL,,,,,,,,,,,
120,4,New Jersey Devils,Ethan Edwards,CA,D,18,6,,Spruce Grove ,AJHL,,,,,,,,,,,
121,4,New York Islanders,Alex Jefferies,US,LW,18,11,,The Gunnery ,High-CT,,,,,,,,,,,
122,4,Toronto Maple Leafs,William Villeneuve,CA,D,18,3,,Saint John Sea Dogs ,QMJHL,,,,,,,,,,,
123,4,Dallas Stars,Antonio Stranges,US,LW,18,2,,London Knights ,OHL,,,,,,,,,,,
124,4,Montreal Canadiens,Sean Farrell,US,C,18,11,2023,Chicago Steel ,USHL,0,1,-2,0,,,,,,,0
125,5,Vegas Golden Knights,Jesper Vikman,SE,G,18,3,,AIK Jr. ,Sweden Jr.,,,,,,,,,,,
126,5,Edmonton Oilers,Tyler Tullio,US,RW,18,4,,Oshawa Generals ,OHL,,,,,,,,,,,
127,5,New York Rangers,Evan Vierling,CA,C,18,6,,Barrie Colts ,OHL,,,,,,,,,,,
128,5,Los Angeles Kings,Martin Chromiak,SK,RW,18,8,,Kingston Frontenacs ,OHL,,,,,,,,,,,
129,5,Anaheim Ducks,Artyom Galimov,RU,LW,21,9,,Ak Bars Kazan ,Russia,,,,,,,,,,,
130,5,New Jersey Devils,Artem Shlaine,RU,C,18,3,,Shattuck-St. Mary's School ,High-MN,,,,,,,,,,,
131,5,Buffalo Sabres,Matteo Costantini,CA,C,18,8,,Buffalo ,OJHL,,,,,,,,,,,
132,5,Detroit Red Wings,Alex Cotton,CA,D,19,5,,Lethbridge Hurricanes ,WHL,,,,,,,,,,,
133,5,Winnipeg Jets,Anton Johannesson,SE,D,18,3,,HV71 Jr. ,Sweden Jr.,,,,,,,,,,,
134,5,New York Rangers,Brett Berard,US,LW,18,9,2025,USA U-18 Development Team ,USDP/USHL,4,10,-6,8,,,,,,,0.7
135,5,Philadelphia Flyers,Elliot Desnoyers,CA,LW,,1,2023,Moncton Wildcats ,QMJHL,0,0,-2,0,,,,,,,-0.2
136,5,Montreal Canadiens,Jakub Dobes,CZ,G,19,5,2025,Omaha Lancers ,USHL,0,0,0,0,16,7,4,3,0.909,2.74,3.1
137,5,Toronto Maple Leafs,Dmitry Ovchinnikov,RU,C,18,8,,Sibirskie Snaipery Novosibirsk ,Russia Jr.,,,,,,,,,,,
138,5,Edmonton Oilers,Maksim Berezkin,RU,LW,18,10,,Loko Yaroslavl ,Russia Jr.,,,,,,,,,,,
139,5,Colorado Avalanche,Ryder Rolston,US,RW,18,10,,Waterloo Black Hawks ,USHL,,,,,,,,,,,
140,5,Los Angeles Kings,Ben Meehan,US,D,19,4,,Cedar Rapids RoughRiders ,USHL,,,,,,,,,,,
141,5,Chicago Blackhawks,Isaak Phillips,CA,D,18,9,2025,Sudbury Wolves ,OHL,10,12,-37,31,,,,,,,0.1
142,5,Arizona Coyotes,Carson Bantle,US,LW,18,1,,Madison Capitols ,USHL,,,,,,,,,,,
143,5,Calgary Flames,Ryan Francis,CA,RW,18,12,,Cape Breton Eagles ,QMJHL,,,,,,,,,,,
144,5,Vancouver Canucks,Jacob Truscott,US,D,18,4,,USA U-18 Development Team ,USDP/USHL,,,,,,,,,,,
145,5,Columbus Blue Jackets,Ole Julian Bjorgvik-Holm,NO,D,18,5,,Mississauga Steelheads ,OHL,,,,,,,,,,,
146,5,Minnesota Wild,Pavel Novak,CZ,RW,18,4,,Kelowna Rockets ,WHL,,,,,,,,,,,
147,5,Tampa Bay Lightning,Jaydon Dureau,CA,LW,19,1,,Portland Winterhawks ,WHL,,,,,,,,,,,
148,5,Washington Capitals,Bear Hughes,US,C,19,5,,Spokane Chiefs ,WHL,,,,,,,,,,,
149,5,Pittsburgh Penguins,Raivis Ansons,LV,RW,18,1,,Baie-Comeau Drakkar ,QMJHL,,,,,,,,,,,
150,5,St. Louis Blues,Matthew Kessel,US,D,20,6,2025,Massachusetts ,H-East,9,10,-4,22,,,,,,,1.8
151,5,Boston Bruins,Mason Langenbrunner,US,D,18,9,,Eden Priarie HS ,High-MN,,,,,,,,,,,
152,5,New York Islanders,William Dufour,CA,RW,18,1,2023,Drummondville Voltigeurs ,QMJHL,0,0,-2,0,,,,,,,-0.1
153,5,Florida Panthers,Kasper Puutio,FI,D,18,6,,Everett Silvertips ,WHL,,,,,,,,,,,
154,5,Dallas Stars,Daniel Ljungman,SE,C,18,4,,Linkoping HC Jr. ,Sweden Jr.,,,,,,,,,,,
155,5,Ottawa Senators,Eric Engstrand,SE,LW,20,5,,Malmo Jr. ,Sweden Jr.,,,,,,,,,,,
156,6,Detroit Red Wings,Kyle Aucoin,CA,D,18,7,,Tri-City Storm ,USHL,,,,,,,,,,,
157,6,Tampa Bay Lightning,Nick Capone,US,RW,18,12,,Tri-City Storm ,USHL,,,,,,,,,,,
158,6,Ottawa Senators,Philippe Daoust,CA,C,18,11,,Moncton Wildcats ,QMJHL,,,,,,,,,,,
159,6,Carolina Hurricanes,Lucas Mercuri,CA,C,18,3,,Salisbury School ,High-CT,,,,,,,,,,,
160,6,Anaheim Ducks,Albin Sundsvik,SE,C,19,4,,Skelleftea AIK ,Sweden,,,,,,,,,,,
161,6,New Jersey Devils,Benjamin Baumgartner,AT,C,20,4,,HC Davos ,Swiss,,,,,,,,,,,
162,6,Dallas Stars,Yevgeni Oksentyuk,BY,LW,19,2,,Flint Firebirds ,OHL,,,,,,,,,,,
163,6,St. Louis Blues,Will Cranley,CA,G,18,2,,Ottawa 67's ,OHL,,,,,,,,,,,
164,6,Winnipeg Jets,Tyrel Bauer,CA,D,18,3,,Seattle Thunderbirds ,WHL,,,,,,,,,,,
165,6,New York Rangers,Matt Rempe,CA,C,18,6,2025,Seattle Thunderbirds ,WHL,6,10,8,138,,,,,,,0.9
166,6,Nashville Predators,Luke Reid,CA,D,18,9,,Chicago Steel ,USHL,,,,,,,,,,,
167,6,Colorado Avalanche,Nils Aman,SE,C,20,2,2025,Leksands IF Jr. ,Sweden Jr.,21,29,-17,28,,,,,,,0.3
168,6,Toronto Maple Leafs,Veeti Miettinen,FI,RW,18,9,,Kiekko-Espoo Jr. ,Finland Jr.,,,,,,,,,,,
169,6,Edmonton Oilers,Filip Engaras,SE,C,21,5,,New Hampshire ,H-East,,,,,,,,,,,
170,6,Pittsburgh Penguins,Chase Yoder,US,C,18,5,,USA U-18 Development Team ,USDP/USHL,,,,,,,,,,,
171,6,Montreal Canadiens,Alexander Gordin,RU,RW,19,7,,SKA 1946 St. Petersburg ,Russia Jr.,,,,,,,,,,,
172,6,Chicago Blackhawks,Chad Yetman,CA,C,20,2,,Erie Otters ,OHL,,,,,,,,,,,
173,6,Arizona Coyotes,Filip Barklund,SE,C,18,8,,Orebro HK Jr. ,Sweden Jr.,,,,,,,,,,,
174,6,Calgary Flames,Rory Kerins,CA,C,18,4,2025,Soo Greyhounds ,OHL,4,4,3,0,,,,,,,0.4
175,6,Vancouver Canucks,Dmitry Zlodeyev,RU,C,18,2,,MHK Dynamo Moskva ,Russia Jr.,,,,,,,,,,,
176,6,Columbus Blue Jackets,Samuel Johannesson,SE,D,19,12,,Rogle BK ,Sweden,,,,,,,,,,,
177,6,Toronto Maple Leafs,Axel Rindell,FI,D,20,4,,Jukurit ,Finland,,,,,,,,,,,
178,6,Philadelphia Flyers,Connor McClennon,CA,RW,18,6,,Winnipeg Ice ,WHL,,,,,,,,,,,
179,6,Washington Capitals,Garin Bjorklund,CA,G,18,5,,Medicine Hat Tigers ,WHL,,,,,,,,,,,
180,6,Toronto Maple Leafs,Joe Miller,US,C,18,9,,Blake School ,High-MN,,,,,,,,,,,
181,6,Ottawa Senators,Cole Reinhardt,CA,LW,20,2,2025,Brandon Wheat Kings ,WHL,1,2,-4,17,,,,,,,-0.1
182,6,Boston Bruins,Riley Duran,US,C,18,1,2025,Lawrence Academy ,High-MA,0,0,-1,2,,,,,,,-0.1
183,6,New York Islanders,Matias Rajaniemi,FI,D,18,9,,Pelicans Jr. ,Finland Jr.,,,,,,,,,,,
184,6,Vegas Golden Knights,Noah Ellis,US,D,18,2,,Des Moines Buccaneers ,USHL,,,,,,,,,,,
185,6,Dallas Stars,Remi Poirier,CA,G,18,10,,Gatineau Olympiques ,QMJHL,,,,,,,,,,,
186,6,Tampa Bay Lightning,Amir Miftakhov,RU,G,20,4,,Bars Kazan ,Russia-2,,,,,,,,,,,
187,7,Detroit Red Wings,Kienan Draper,US,RW,18,2,,St. Andrew's College ,High-ON,,,,,,,,,,,
188,7,Chicago Blackhawks,Louis Crevier,CA,D,19,5,2025,Chicoutimi Sagueneens ,QMJHL,4,7,-22,14,,,,,,,0.7
189,7,Toronto Maple Leafs,John Fusco,US,D,19,6,,Dexter Southfield School ,High-MA,,,,,,,,,,,
190,7,Los Angeles Kings,Aatu Jamsen,FI,RW,18,7,,Pelicans Jr. ,Finland Jr.,,,,,,,,,,,
191,7,Vancouver Canucks,Viktor Persson,SE,D,18,11,,Brynas IF Jr. ,Sweden Jr.,,,,,,,,,,,
192,7,Arizona Coyotes,Elliot Ekefjard,SE,RW,18,1,,IF Bjorkloven Jr. ,Sweden Jr.,,,,,,,,,,,
193,7,Buffalo Sabres,Albert Lyckasen,SE,D,19,7,,Linkoping HC Jr. ,Sweden Jr.,,,,,,,,,,,
194,7,St. Louis Blues,Noah Beck,CA,D,19,3,,Fargo Force ,USHL,,,,,,,,,,,
195,7,Toronto Maple Leafs,Wyatt Schingoethe,US,C,18,8,,Waterloo Black Hawks ,USHL,,,,,,,,,,,
196,7,San Jose Sharks,Alex Young,CA,C,19,3,,Canmore ,AJHL,,,,,,,,,,,
197,7,New York Rangers,Hugo Ollas,SE,G,18,4,,Linkoping HC Jr. ,Sweden Jr.,,,,,,,,,,,
198,7,Florida Panthers,Elliot Ekmark,SE,C,18,1,,Linkoping HC Jr. ,Sweden Jr.,,,,,,,,,,,
199,7,Carolina Hurricanes,Alexander Pashin,RU,RW,18,7,,Tolpar Ufa ,Russia Jr.,,,,,,,,,,,
200,7,Edmonton Oilers,Jeremias Lindewall,SE,RW,18,1,,MODO Hockey Jr. ,Sweden Jr.,,,,,,,,,,,
201,7,San Jose Sharks,Adam Raska,CZ,RW,18,9,2024,Rimouski Oceanic ,QMJHL,0,0,1,7,,,,,,,-0.1
202,7,Nashville Predators,Gunnarwolfe Fontaine,US,LW,19,9,,Chicago Steel ,USHL,,,,,,,,,,,
203,7,Detroit Red Wings,Chase Bradley,US,LW,18,1,2025,Omaha Lancers ,USHL,0,0,0,0,,,,,,,0
204,7,Arizona Coyotes,Ben McCartney,CA,LW,19,7,2022,Brandon Wheat Kings ,WHL,0,0,0,4,,,,,,,0
205,7,Calgary Flames,Ilya Solovyov,BY,D,20,7,2025,Saginaw Spirit ,OHL,4,4,-6,6,,,,,,,0.2
206,7,San Jose Sharks,Linus Oberg,SE,C,20,7,,Orebro HK ,Sweden,,,,,,,,,,,
207,7,Anaheim Ducks,Ethan Bowen,CA,C,18,5,,Chilliwack ,BCHL,,,,,,,,,,,
208,7,Carolina Hurricanes,Ronan Seeley,CA,D,18,8,,Everett Silvertips ,WHL,,,,,,,,,,,
209,7,Nashville Predators,Chase McLane,US,C,20,4,,Tri-City Storm ,USHL,,,,,,,,,,,
210,7,San Jose Sharks,Timofey Spitserov,RU,RW,18,3,,Culver Military Academy ,High-IN,,,,,,,,,,,
211,7,Washington Capitals,Oskar Magnusson,SE,LW,18,1,,Malmo Jr. ,Sweden Jr.,,,,,,,,,,,
212,7,Florida Panthers,Devon Levi,CA,G,18,12,2025,Carleton Place ,CCHL,0,0,0,0,39,17,17,2,0.894,3.29,5.7
213,7,Toronto Maple Leafs,Ryan Tverberg,CA,C,18,1,,Toronto ,OJHL,,,,,,,,,,,
214,7,New York Islanders,Henrik Tikkanen,FI,G,19,9,,HIFK Jr. ,Finland Jr.,,,,,,,,,,,
215,7,Vegas Golden Knights,Maxim Marushev,RU,C,21,1,,Bars Kazan ,Russia-2,,,,,,,,,,,
216,7,Buffalo Sabres,Jakub Konecny,CZ,C,18,6,,HC Sparta Praha Jr. ,Czech Jr.,,,,,,,,,,,
217,7,Tampa Bay Lightning,Declan McDonnell,US,RW,18,2,,Kitchener Rangers ,OHL,,,,,,,,,,,
